file name,label,culture,blip2_meaning,blip2_gesture,meaning_score,gesture_score
image1.png, Casual greetings, Indian,a man with a beard and a blue shirt,a hand gesture,0,0
image2.png, Exaggerated no, Indian,it means 'sadness',a hand gesture,0,0
image3.png, Formal greetings, Indian,'prayer',a hand gesture,0,0
image4.png, Helplessness, Indian,a man is putting his hand on his head,he is covering his eyes with his hands,0,0
image5.png, Interested, Indian,it means 'happiness',a handshake,0,0
image6.png, Lovely, Indian,ok,ok sign,0,0
image7.png, Need to pee, Indian,it means 'i am happy',the finger up gesture,0,1
image8.png, Nervous, Indian,a woman covering her mouth with her hands,covering her mouth,0,1
image9.png, Oh my God, Indian,it means 'shock',a 'shocked' gesture,1,1
image10.png, Promise, Indian,it's a sign of friendship,a smile,0,0
image11.png, Sorry, Indian,it means 'good luck',a sign of 'ok',0,0
image12.png, Stop, Indian,stop - stop stock videos & royalty-free footage,stop sign,1,1
image13.png, Threaten to slap, Indian,it means 'i am a sailor',he is pointing to the wall,0,0
image14.png, Touchwood, Indian,it means 'good luck',a hand gesture,0,0
image15.png, What where how, Indian,'i am not a thief',a hand gesture,0,0
image16.png, A great quantity, Mexican,it means good luck'',the finger'' gesture,0,0
image17.png, A little bit, Mexican,it means 'i'm going to die',a thumbs up,0,0
image18.png, A lot of money, Mexican,s                       ,a 'finger' gesture,0,0
image19.png, Asking for check, Mexican,it means 'we are united',fist,0,0
image20.png, Fuck you, Mexican,it means 'save yourself',a 'sacred' gesture,0,0
image21.png, Go away, Mexican,it means 'savor the moment',a handshake,0,0
image22.png, I swear, Mexican,'shh' - shit stock videos & royalty-free footage,a hand gesture of a 'shh',0,0
image23.png, Insult, Mexican,ok,ok,0,0
image24.png, Just a moment, Mexican,it means 'i'm a woman',a finger,0,0
image25.png, Shameless, Mexican,'savor',a hand on the face,0,0
image26.png, Stingy, Mexican,it means 'to be a good friend',a gesture of a hand,0,0
image27.png, Thank You, Mexican,it means 'good luck',a hand gesture,0,0
image28.png, That’s right, Mexican,it means 'savor',a sexy smile,0,0
image29.png, To drink alcohol, Mexican,hello,a 'hello' gesture,0,0
image30.png, Yes, Mexican,it means 'i am a man',the finger,0,0
image31.png, Cool, Portuguese,it means 'yes',thumbs up,0,0
image32.png, Delicious, Portuguese,                        ,a slap in the face,0,0
image33.png, Fed up, Portuguese,it means 'to be a good friend',a 'faça',0,0
image34.png, Fuck off, Portuguese,                        ,a 'façade',0,0
image35.png, Good luck, Portuguese,it means 'i'm not a sex person',a thumbs up,0,0
image36.png, I have had enough, Portuguese,it means 'you're not a good person',a hand gesture,0,0
image37.png, It’s full, Portuguese,it means 'i'm not a sex person',the 'faça o teu olho',0,0
image38.png, Jealous, Portuguese,'the sex of the king',a handshake,0,0
image39.png, Middle Finger, Portuguese,ok'',ok,0,0
image40.png, Money, Portuguese,'the sex of the sex',a 'feito',0,0
