culture,source,phrase,count
Canadian,blip2_gesture,a hand gesture,5
Canadian,blip2_gesture,a thumbs up,2
Canadian,blip2_gesture,pointing to the,1
Canadian,blip2_gesture,to the camera,1
Canadian,blip2_gesture,pointing to the camera,1
Canadian,blip2_gesture,the s sign,1
Canadian,blip2_gesture,a hand covering,1
Canadian,blip2_gesture,hand covering her,1
Canadian,blip2_gesture,covering her eyes,1
Canadian,blip2_gesture,a hand covering her,1
Canadian,blip2_meaning,it means no,3
Canadian,blip2_meaning,it means save,3
Canadian,blip2_meaning,means save yourself,3
Canadian,blip2_meaning,it means save yourself,3
Canadian,blip2_meaning,its a sign,2
Canadian,blip2_meaning,a sign of,2
Canadian,blip2_meaning,its a sign of,2
Canadian,blip2_meaning,it means im,1
Canadian,blip2_meaning,means im pointing,1
Canadian,blip2_meaning,im pointing at,1
French,blip2_gesture,a gesture of,3
French,blip2_gesture,gesture of a,3
French,blip2_gesture,a gesture of a,3
French,blip2_gesture,pointing to her,3
French,blip2_gesture,kissing her lips,1
French,blip2_gesture,kissing her nose,1
French,blip2_gesture,of a hand,1
French,blip2_gesture,gesture of a hand,1
French,blip2_gesture,a gesture of a hand,1
French,blip2_gesture,to her face,1
French,blip2_meaning,it means to,7
French,blip2_meaning,means to be,5
French,blip2_meaning,it means to be,5
French,blip2_meaning,to be a,4
French,blip2_meaning,be a good,4
French,blip2_meaning,a good friend,4
French,blip2_meaning,means to be a,4
French,blip2_meaning,to be a good,4
French,blip2_meaning,be a good friend,4
French,blip2_meaning,it means to be a,4
Indian,blip2_gesture,a hand gesture,5
Indian,blip2_gesture,he is covering,1
Indian,blip2_gesture,is covering his,1
Indian,blip2_gesture,covering his eyes,1
Indian,blip2_gesture,his eyes with,1
Indian,blip2_gesture,eyes with his,1
Indian,blip2_gesture,with his hands,1
Indian,blip2_gesture,he is covering his,1
Indian,blip2_gesture,is covering his eyes,1
Indian,blip2_gesture,covering his eyes with,1
Indian,blip2_meaning,it means i,2
Indian,blip2_meaning,means i am,2
Indian,blip2_meaning,it means i am,2
Indian,blip2_meaning,it means good,2
Indian,blip2_meaning,means good luck,2
Indian,blip2_meaning,it means good luck,2
Indian,blip2_meaning,a man with,1
Indian,blip2_meaning,man with a,1
Indian,blip2_meaning,with a beard,1
Indian,blip2_meaning,a beard and,1
Italian,blip2_gesture,a gesture of,2
Italian,blip2_gesture,pointing his finger,2
Italian,blip2_gesture,a favorite gesture,2
Italian,blip2_gesture,stock videos royaltyfree,2
Italian,blip2_gesture,videos royaltyfree footage,2
Italian,blip2_gesture,stock videos royaltyfree footage,2
Italian,blip2_gesture,gesture of no,1
Italian,blip2_gesture,a gesture of no,1
Italian,blip2_gesture,a finger to,1
Italian,blip2_gesture,finger to the,1
Italian,blip2_meaning,it means no,3
Italian,blip2_meaning,stock videos royaltyfree,2
Italian,blip2_meaning,videos royaltyfree footage,2
Italian,blip2_meaning,stock videos royaltyfree footage,2
Italian,blip2_meaning,it means good,2
Italian,blip2_meaning,means good luck,2
Italian,blip2_meaning,it means good luck,2
Italian,blip2_meaning,it means im,2
Italian,blip2_meaning,chin stock videos,1
Italian,blip2_meaning,chin stock videos royaltyfree,1
Korean,blip2_gesture,a hand gesture,7
Korean,blip2_gesture,a thumbs up,2
Korean,blip2_gesture,pointing to her,1
Korean,blip2_gesture,to her right,1
Korean,blip2_gesture,pointing to her right,1
