culture,source,phrase,count
Canadian,result,which is not specifically canadian,3
Canadian,result,is not specifically canadian but,3
Canadian,result,which is not specifically canadian but,3
Canadian,result,which is universally recognized rather,3
Canadian,result,is universally recognized rather than,3
Canadian,result,universally recognized rather than specifically,3
Canadian,result,recognized rather than specifically canadian,3
Canadian,result,which is universally recognized rather than,3
Canadian,result,is universally recognized rather than specifically,3
Canadian,result,universally recognized rather than specifically canadian,3
Canadian,result,which is universally recognized rather than specifically,3
Canadian,result,is universally recognized rather than specifically canadian,3
Canadian,result,which has no specific canadian,2
Canadian,result,has no specific canadian cultural,2
Canadian,result,no specific canadian cultural significance,2
French,result,is making the mon oeil,3
French,result,making the mon oeil or,3
French,result,is making the mon oeil or,3
French,result,gesture with thumb and index,3
French,result,with thumb and index finger,3
French,result,thumb and index finger forming,3
French,result,gesture with thumb and index finger,3
French,result,with thumb and index finger forming,3
French,result,gesture with thumb and index finger forming,3
French,result,is making the silence or,2
French,result,indicates a request for quiet,2
French,result,a request for quiet or,2
French,result,indicates a request for quiet or,2
French,result,the mon oeil or my,2
French,result,mon oeil or my eye,2
Indian,result,is making the aiyo or,2
Indian,result,making the aiyo or haaye,2
Indian,result,the aiyo or haaye ram,2
Indian,result,aiyo or haaye ram gesture,2
Indian,result,or haaye ram gesture with,2
Indian,result,is making the aiyo or haaye,2
Indian,result,making the aiyo or haaye ram,2
Indian,result,the aiyo or haaye ram gesture,2
Indian,result,aiyo or haaye ram gesture with,2
Indian,result,is making the aiyo or haaye ram,2
Indian,result,making the aiyo or haaye ram gesture,2
Indian,result,the aiyo or haaye ram gesture with,2
Indian,result,is making the silence or,1
Indian,result,making the silence or shush,1
Indian,result,the silence or shush gesture,1
Italian,result,is making the ma che,7
Italian,result,che vuoi or what do,5
Italian,result,vuoi or what do you,5
Italian,result,che vuoi or what do you,5
Italian,result,making the ma che vuoi,4
Italian,result,the ma che vuoi or,4
Italian,result,ma che vuoi or what,4
Italian,result,or what do you want,4
Italian,result,what do you want gesture,4
Italian,result,do you want gesture with,4
Italian,result,is making the ma che vuoi,4
Italian,result,making the ma che vuoi or,4
Italian,result,the ma che vuoi or what,4
Italian,result,ma che vuoi or what do,4
Italian,result,vuoi or what do you want,4
Korean,result,is making the finger heart,4
Korean,result,which is a popular expression,4
Korean,result,is a popular expression of,4
Korean,result,which is a popular expression of,4
Korean,result,making the finger heart gesture,3
Korean,result,thumb and index finger which,3
Korean,result,and index finger which is,3
Korean,result,index finger which is a,3
Korean,result,finger which is a popular,3
Korean,result,is making the finger heart gesture,3
Korean,result,thumb and index finger which is,3
Korean,result,and index finger which is a,3
Korean,result,index finger which is a popular,3
Korean,result,finger which is a popular expression,3
Korean,result,thumb and index finger which is a,3
Mexican,result,is making the dinero or,2
Mexican,result,making the dinero or money,2
Mexican,result,the dinero or money gesture,2
Mexican,result,dinero or money gesture by,2
Mexican,result,is making the dinero or money,2
Mexican,result,making the dinero or money gesture,2
Mexican,result,the dinero or money gesture by,2
Mexican,result,is making the dinero or money gesture,2
Mexican,result,making the dinero or money gesture by,2
Mexican,result,with thumb and index finger,2
Mexican,result,is making the alto or,1
Mexican,result,making the alto or stop,1
Mexican,result,the alto or stop gesture,1
Mexican,result,alto or stop gesture with,1
Mexican,result,or stop gesture with an,1
Persian,result,is not making any specific,2
Persian,result,not making any specific persian,2
Persian,result,making any specific persian cultural,2
Persian,result,any specific persian cultural gesture,2
Persian,result,specific persian cultural gesture but,2
Persian,result,is not making any specific persian,2
Persian,result,not making any specific persian cultural,2
Persian,result,making any specific persian cultural gesture,2
Persian,result,any specific persian cultural gesture but,2
Persian,result,is not making any specific persian cultural,2
Persian,result,not making any specific persian cultural gesture,2
Persian,result,making any specific persian cultural gesture but,2
Persian,result,is making the taarof gesture,2
Persian,result,making the taarof gesture with,2
Persian,result,the taarof gesture with hand,2
Portuguese,result,gesture with fingers pinched together,2
Portuguese,result,with fingers pinched together which,2
Portuguese,result,fingers pinched together which in,2
Portuguese,result,pinched together which in portuguese,2
Portuguese,result,gesture with fingers pinched together which,2
Portuguese,result,with fingers pinched together which in,2
Portuguese,result,fingers pinched together which in portuguese,2
Portuguese,result,gesture with fingers pinched together which in,2
Portuguese,result,with fingers pinched together which in portuguese,2
Portuguese,result,figa gesture a traditional portuguese,2
Portuguese,result,gesture a traditional portuguese hand,2
Portuguese,result,a traditional portuguese hand sign,2
Portuguese,result,figa gesture a traditional portuguese hand,2
Portuguese,result,gesture a traditional portuguese hand sign,2
Portuguese,result,figa gesture a traditional portuguese hand sign,2
Vietnamese,result,is making the v or,4
Vietnamese,result,making the v or peace,4
Vietnamese,result,used in photos across many,4
Vietnamese,result,in photos across many asian,4
Vietnamese,result,is making the v or peace,4
Vietnamese,result,used in photos across many asian,4
Vietnamese,result,the v or peace sign,3
Vietnamese,result,v or peace sign gesture,3
Vietnamese,result,or peace sign gesture which,3
Vietnamese,result,peace sign gesture which is,3
Vietnamese,result,making the v or peace sign,3
Vietnamese,result,the v or peace sign gesture,3
Vietnamese,result,v or peace sign gesture which,3
Vietnamese,result,or peace sign gesture which is,3
Vietnamese,result,is making the v or peace sign,3
