file name,label,culture,blip2_meaning,blip2_gesture
image1.png, Casual greetings, Indian,a man with a beard and a blue shirt,a hand gesture
image2.png, Exaggerated no, Indian,it means 'sadness',a hand gesture
image3.png, Formal greetings, Indian,'prayer',a hand gesture
image4.png, Helplessness, Indian,a man is putting his hand on his head,he is covering his eyes with his hands
image5.png, Interested, Indian,it means 'happiness',a handshake
image6.png, Lovely, Indian,ok,ok sign
image7.png, Need to pee, Indian,it means 'i am happy',the finger up gesture
image8.png, Nervous, Indian,a woman covering her mouth with her hands,covering her mouth
image9.png, Oh my God, Indian,it means 'shock',a 'shocked' gesture
image10.png, Promise, Indian,it's a sign of friendship,a smile
image11.png, Sorry, Indian,it means 'good luck',a sign of 'ok'
image12.png, Stop, Indian,stop - stop stock videos & royalty-free footage,stop sign
image13.png, Threaten to slap, Indian,it means 'i am a sailor',he is pointing to the wall
image14.png, Touchwood, Indian,it means 'good luck',a hand gesture
image15.png, What where how, Indian,'i am not a thief',a hand gesture
image16.png, A great quantity, Mexican,it means good luck'',the finger'' gesture
image17.png, A little bit, Mexican,it means 'i'm going to die',a thumbs up
image18.png, A lot of money, Mexican,s                       ,a 'finger' gesture
image19.png, Asking for check, Mexican,it means 'we are united',fist
image20.png, Fuck you, Mexican,it means 'save yourself',a 'sacred' gesture
image21.png, Go away, Mexican,it means 'savor the moment',a handshake
image22.png, I swear, Mexican,'shh' - shit stock videos & royalty-free footage,a hand gesture of a 'shh'
image23.png, Insult, Mexican,ok,ok
image24.png, Just a moment, Mexican,it means 'i'm a woman',a finger
image25.png, Shameless, Mexican,'savor',a hand on the face
image26.png, Stingy, Mexican,it means 'to be a good friend',a gesture of a hand
image27.png, Thank You, Mexican,it means 'good luck',a hand gesture
image28.png, That’s right, Mexican,it means 'savor',a sexy smile
image29.png, To drink alcohol, Mexican,hello,a 'hello' gesture
image30.png, Yes, Mexican,it means 'i am a man',the finger
image31.png, Cool, Portuguese,it means 'yes',thumbs up
image32.png, Delicious, Portuguese,                        ,a slap in the face
image33.png, Fed up, Portuguese,it means 'to be a good friend',a 'faça'
image34.png, Fuck off, Portuguese,                        ,a 'façade'
image35.png, Good luck, Portuguese,it means 'i'm not a sex person',a thumbs up
image36.png, I have had enough, Portuguese,it means 'you're not a good person',a hand gesture
image37.png, It’s full, Portuguese,it means 'i'm not a sex person',the 'faça o teu olho'
image38.png, Jealous, Portuguese,'the sex of the king',a handshake
image39.png, Middle Finger, Portuguese,ok'',ok
image40.png, Money, Portuguese,'the sex of the sex',a 'feito'
